Estado,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II
Nacional,82.6,85.6,88.3,89.4,90.5,92.2,93.6,94.6,97.1,99.1,101.0,102.7,105.3,107.7,110.2,112.3,114.8,117.6,119.5,120.9,123.0,124.4,125.5,127.4,131.0,134.0,136.4,138.3,141.1,144.7,149.2,152.7,157.6,161.4
Aguascalientes ,82.9,86.0,88.7,89.7,90.9,92.4,93.7,94.6,97.1,99.2,101.0,102.6,105.1,107.4,109.5,111.1,113.5,116.3,118.7,120.3,122.5,123.9,125.4,127.5,130.3,132.6,133.9,135.0,138.0,141.8,146.0,149.3,154.1,157.5
Baja California ,85.0,87.5,89.9,90.6,91.4,93.1,94.3,94.9,97.2,99.2,100.9,102.7,105.7,108.2,110.4,112.6,115.1,117.9,120.5,122.4,124.7,126.7,128.7,131.8,135.9,139.6,142.5,145.2,149.3,154.6,160.7,166.2,172.2,176.9
Baja California Sur ,85.5,88.1,90.2,91.0,91.9,93.5,94.9,95.5,97.6,99.4,100.8,102.2,105.1,107.5,110.0,112.5,115.0,117.8,120.2,122.1,124.8,126.9,129.3,133.0,137.8,142.2,146.1,149.7,154.6,160.7,167.9,174.3,182.3,190.0
Campeche ,83.8,86.7,89.4,90.6,91.6,93.2,94.3,94.8,97.1,99.2,101.0,102.7,105.5,108.1,110.4,112.6,114.9,117.4,119.4,121.2,123.5,125.3,127.3,130.3,134.5,138.4,141.4,144.1,147.5,152.1,157.4,161.5,166.5,170.5
Coahuila ,84.1,87.3,89.8,90.6,91.6,93.2,94.5,95.5,97.8,99.4,100.8,101.9,104.2,106.2,108.4,110.5,112.8,115.4,117.2,118.6,120.8,122.5,124.2,126.5,130.3,133.3,135.3,136.9,139.7,143.6,148.7,153.5,158.9,163.2
Colima ,84.8,87.4,89.6,90.1,90.9,92.7,94.1,94.9,97.2,99.1,100.9,102.8,105.5,107.8,110.1,112.0,114.5,117.2,119.1,120.6,122.6,124.4,126.3,128.4,132.1,135.1,137.1,139.2,143.1,147.0,151.5,155.5,160.3,164.1
Chiapas ,84.9,87.6,90.0,90.9,91.8,93.5,94.8,95.4,97.6,99.3,100.8,102.4,104.9,107.3,109.3,111.0,113.1,115.3,117.1,118.6,120.6,122.0,123.5,125.8,129.3,132.3,134.4,136.2,139.0,142.4,146.4,149.1,153.7,157.4
Chihuahua ,85.6,88.5,90.8,91.4,92.1,93.7,94.9,95.7,97.9,99.4,100.8,101.9,104.2,106.2,108.3,110.3,112.5,114.9,116.7,117.9,120.1,121.9,123.7,126.3,130.8,134.6,137.6,140.2,143.4,147.0,151.2,154.2,159.3,164.5
Ciudad de México ,74.6,78.3,81.8,84.2,86.1,88.4,90.6,92.4,95.7,98.8,101.7,103.9,106.5,109.1,112.3,115.3,118.7,122.3,123.3,123.6,125.3,124.6,122.8,122.9,124.9,127.4,130.2,131.7,133.0,136.0,140.6,144.3,150.4,153.8
Durango ,85.2,88.8,91.7,92.7,93.5,95.0,95.8,96.3,98.1,99.4,100.7,101.8,103.8,106.0,107.8,109.2,111.1,113.0,114.5,115.8,117.7,119.5,121.0,122.5,126.0,128.7,130.3,131.6,133.2,135.0,137.1,137.8,141.7,145.4
Guanajuato ,83.5,86.5,89.0,89.8,90.7,92.4,93.7,94.6,97.0,99.0,101.0,103.1,105.8,108.4,111.0,113.1,115.8,118.5,120.5,122.3,124.2,125.9,127.6,129.4,132.5,135.0,136.4,138.0,141.0,144.3,147.8,150.2,154.0,157.0
Guerrero ,83.7,86.4,88.9,90.1,91.3,93.2,94.5,95.3,97.6,99.3,100.9,102.2,104.7,106.9,108.9,110.4,112.3,114.6,116.3,117.7,119.5,120.6,121.3,123.1,127.0,130.7,133.5,136.2,139.7,144.0,150.0,155.3,161.0,164.8
Hidalgo ,84.1,87.3,90.1,90.7,91.7,93.7,95.1,96.1,98.2,99.4,100.6,101.8,104.0,106.1,108.1,109.9,111.9,114.2,115.9,117.0,118.6,119.8,120.8,122.0,125.1,127.5,128.7,129.9,132.2,135.1,139.0,142.3,146.1,148.3
Jalisco ,84.0,86.4,88.8,89.9,90.5,92.0,93.0,93.6,96.3,98.7,101.3,103.6,106.9,109.9,112.7,115.5,118.7,122.3,125.1,127.2,129.8,132.0,133.9,136.7,140.7,144.1,146.9,148.6,151.8,156.0,161.1,165.5,171.2,175.2
México ,84.0,86.8,89.3,90.3,91.4,93.1,94.3,95.2,97.5,99.2,100.9,102.4,105.0,107.4,109.6,110.9,112.9,115.2,116.8,118.2,120.2,121.3,121.9,123.2,126.5,129.2,130.8,132.3,134.3,136.5,139.4,140.3,143.3,145.6
Michoacán ,84.4,87.3,89.7,90.5,91.4,93.1,94.4,95.2,97.4,99.1,100.9,102.7,105.2,107.8,110.0,111.7,114.2,116.7,118.7,120.4,122.2,123.8,125.2,126.6,131.1,135.3,138.4,141.5,145.6,150.0,155.4,160.1,164.2,166.3
Morelos ,84.1,86.8,89.3,90.4,91.4,93.3,94.7,95.6,97.9,99.5,100.8,101.9,104.3,106.7,109.0,110.6,112.6,115.1,116.8,118.2,120.2,121.2,121.6,123.2,127.2,131.2,134.5,137.6,140.6,143.9,148.1,149.9,153.3,156.6
